sample	sample_sol	frac_at_odd	frac_at_2	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	gii	wgii	goodness_of_fit	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	purity_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:2.05:0.3	0	0.957382930186276	0	0	1	0.0139638909540678	0.919843639395893	30	0.998133333333335	0	0.00650733039277035	0.0101010096645467	69.9614110814647	2.05	0.3	0	FALSE	FALSE	TRUE	FALSE	FALSE	0.174208145789398	1.51742390296901	0.001	0	68.3614110814647				
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:2.06:0.1	0.0291972265732962	0.724914512857875	0.0204924631550523	0.0496896897283485	0.979507536844948	0.0665551688511961	0.651286723003958	30	0.98988	38.499999	0.069230766689017	0.100010565108344	41.3700221464339	2.06	0.1	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.190859291118851	1.82136345031952	0.0291972265732962	0	39.570022146434	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:2.06:0.11	0.0221246066586715	0.751342181849633	0.0204924631550523	0.0426170698137238	1	0.0805190598052639	0.735432768654919	30	0.993516363636365	38.499999	0.057662179042911	0.0545560196537989	44.9467409456377	2.06	0.11	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.304342527212832	4.63121869351468	0.0221246066586715	0	40.3467409456376	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:2.06:0.12	0.0221246066586715	0.799943777238796	0.0204924631550523	0.0426170698137238	1	0.0627468341303174	0.735432768654919	30	0.996546666666665	38.499999	0.0495280159615684	0.0491590421726923	47.3997729535642	2.06	0.12	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.237167822376594	2.81242879854279	0.0221246066586715	0	44.5997729535642	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:2.06:0.13	0.0221246066586715	0.849117437710757	0.0204924631550523	0.0426170698137238	1	0.0487829431762496	0.735432768654919	30	0.99911076923077	38.499999	0.0495280159615684	0.0491590421726923	48.6639448433115	2.06	0.13	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.184387699596179	1.69994118811854	0.0221246066586715	0	47.0639448433115	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:2.06:0.14	0.0360884976127393	0.849117437710757	0.0204924631550523	0.0426170698137238	1	0.0268396861181567	0.713308161996248	30	1.00130857142857	38.499999	0.0424784080059407	0.0442347999736182	49.6998004499052	2.06	0.14	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0936185916733541	0.438222035345111	0.0360884976127393	0	49.2998004499052	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:2.06:0.15	0.0360884976127393	0.87559442607855	0.00652857220098447	0.0204924631550523	1	0.0152333352565299	0.713308161996248	30	1.00321333333334	17.999999	0.0424784080059407	0.0442347999736182	51.7407504377065	2.06	0.15	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0531348759790313	0.141165752265352	0.0360884976127393	0	51.5407504377065	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:2.06:0.16	0.0204924631550523	0.87559442607855	0	0.0204924631550523	1	0.00707261991462471	0.851474977803198	30	0.97976	0	0.0424784080059407	0.0442347999736182	54.274806324754	2.06	0.16	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0476190463399034	0.113378678716094	0.0204924631550523	0	54.0748063247539	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:2.06:0.17	0.0204924631550523	0.87559442607855	0	0.0204924631550523	1	0.00707261991462471	0.858003550004182	30	0.983951764705883	0	0.0424784080059407	0.0442347999736182	56.70066184428	2.06	0.17	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0498084277095169	0.124043973544708	0.0204924631550523	0	56.50066184428	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:2.06:0.18	0.0204924631550523	0.908055939296386	0	0.0204924631550523	1	0.00707261991462471	0.771834645004685	30	1.00765777777778	0	0.0424784080059407	0.0442347999736182	58.2505415837833	2.06	0.18	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0309977819146554	0.0480431241814269	0.0204924631550523	0	58.2505415837833	FALSE			
